# Formato:
# Q|Pregunta|Respuesta correcta|Alternativa 1|Alternativa 2|Alternativa 3|Dato extra opcional

Q|[F] ¿Qué tipo de energía tiene un objeto en movimiento?|Energía cinética|Energía potencial|Energía térmica|Energía química|La energía cinética aumenta con el cuadrado de la velocidad.
Q|[F] ¿Qué gas necesitan las plantas para realizar la fotosíntesis?|Dióxido de carbono|Oxígeno|Nitrógeno|Hidrógeno|Las plantas liberan oxígeno como subproducto de la fotosíntesis.
Q|[F] ¿Qué unidad mide la potencia eléctrica?|Vatio|Voltio|Amperio|Ohmio|El vatio también se usa para medir potencia mecánica.
Q|[F] ¿Qué fenómeno ocurre cuando la luz cambia de dirección al pasar de un medio a otro?|Refracción|Reflexión|Difracción|Interferencia|La refracción permite que funcionen lentes y gafas.
Q|[M] ¿Qué estructura celular produce energía en forma de ATP?|Mitocondria|Núcleo|Ribosoma|Lisoma|La mitocondria tiene su propio ADN independiente del núcleo.
Q|[F] ¿Qué unidad mide la frecuencia?|Hertz|Newton|Joule|Pascal|El hertz se usa en ondas, sonido y electricidad.
Q|[F] ¿Qué proceso convierte glucosa en energía en las células?|Respiración celular|Fotosíntesis|Digestión|Fermentación|La respiración celular es esencial para la vida de la mayoría de los organismos.
Q|[F] ¿Qué planeta es el más cercano al Sol?|Mercurio|Venus|Tierra|Marte|Un año en Mercurio dura solo 88 días terrestres.
Q|[M] ¿Qué tipo de enlace ocurre cuando un átomo cede electrones a otro?|Enlace iónico|Enlace covalente|Enlace metálico|Puente de hidrógeno|El enlace iónico genera compuestos como las sales.
Q|[F] ¿Qué fenómeno permite que un avión se mantenga en el aire?|Sustentación|Gravedad|Fricción|Inercia|La sustentación depende de la forma del ala y la velocidad del aire.
Q|[F] ¿Qué planeta tiene el día más largo del sistema solar?|Venus|Mercurio|Marte|Júpiter|Un día en Venus dura más que su año.
Q|[F] ¿Qué partícula transporta la fuerza electromagnética?|Fotón|Electrón|Protón|Neutrón|El fotón no tiene masa en reposo.
Q|[F] ¿Qué científico propuso la teoría de la deriva continental?|Alfred Wegener|Charles Darwin|Isaac Newton|James Hutton|La teoría fue inicialmente rechazada por la comunidad científica.
Q|[F] ¿Qué escala mide la dureza de los minerales?|Escala de Mohs|Escala de Richter|Escala Kelvin|Escala Beaufort|El diamante es el mineral más duro en esta escala.
Q|[F] ¿Qué tipo de onda es la luz?|Electromagnética|Mecánica|Sonora|Gravitacional|La luz puede propagarse en el vacío.
Q|[F] ¿Qué planeta tiene más lunas conocidas actualmente?|Saturno|Júpiter|Urano|Neptuno|Saturno ha superado a Júpiter en número confirmado recientemente, pero constantemente se van superando entre sí.
Q|[F] ¿Qué órgano es responsable de desintoxicar el cuerpo?|Hígado|Riñón|Pulmón|Páncreas|El hígado procesa sustancias químicas y medicamentos.
Q|[M] ¿Qué científico descubrió la estructura del ADN junto a Watson?|Francis Crick|Linus Pauling|Erwin Schrödinger|Max Planck|El modelo se basó en datos de Rosalind Franklin.
Q|[F] ¿Qué científico descubrió la penicilina?|Alexander Fleming|Louis Pasteur|Robert Koch|Joseph Lister|El descubrimiento fue accidental cuando observó moho matando bacterias.
Q|[F] ¿Qué planeta es conocido por sus fuertes vientos y tormentas?|Neptuno|Urano|Saturno|Júpiter|En Neptuno se han registrado los vientos más rápidos del sistema solar.
Q|[F] ¿Qué unidad mide la energía?|Julio|Vatio|Pascal|Amperio|El julio lleva el nombre del físico James Prescott Joule.
Q|[F] ¿Qué tipo de sangre es considerado donante universal?|O negativo|A positivo|B negativo|AB positivo|Puede donar a casi todos los tipos de sangre.
Q|[F] ¿Qué órgano permite el intercambio de gases en los humanos?|Pulmones|Corazón|Hígado|Riñones|Los alvéolos son las estructuras donde ocurre el intercambio.
Q|[F] ¿Qué proceso usan las plantas para fabricar su alimento?|Fotosíntesis|Respiración|Digestión|Fermentación|Utilizan luz solar, agua y CO₂.
Q|[F] ¿Qué planeta es conocido como el gigante gaseoso más grande?|Júpiter|Saturno|Urano|Neptuno|Tiene la Gran Mancha Roja, una tormenta gigante.
Q|[F] ¿Qué instrumento mide la temperatura?|Termómetro|Barómetro|Anemómetro|Higrómetro|Puede usar mercurio o sensores digitales.
Q|[F] ¿Qué tipo de célula no tiene núcleo definido?|Procariota|Eucariota|Animal|Vegetal|Las bacterias son procariotas.
Q|[F] ¿Qué fuerza mantiene a los planetas en órbita?|Gravedad|Magnetismo|Fricción|Electricidad|Depende de la masa y distancia entre cuerpos.
Q|[F] ¿Qué gas es esencial para la respiración humana?|Oxígeno|Nitrógeno|Helio|Hidrógeno|Se transporta en la sangre mediante la hemoglobina.
Q|[F] ¿Qué tipo de energía se almacena en los alimentos?|Energía química|Energía cinética|Energía nuclear|Energía térmica|Se libera durante la digestión.
Q|[F] ¿Qué capa de la Tierra es la más externa?|Corteza|Manto|Núcleo externo|Núcleo interno|Es donde vivimos y se forman los continentes.
Q|[F] ¿Qué partícula tiene carga positiva?|Protón|Electrón|Neutrón|Fotón|Se encuentra en el núcleo del átomo.
Q|[F] ¿Qué escala se usa para medir la acidez o alcalinidad de una disolución?|pH|Kelvin|Pascal|Tesla|En la escala de pH, 7 se considera neutro.
Q|[F] ¿Qué fenómeno produce los relámpagos?|Electricidad estática|Magnetismo|Gravedad|Radiación|Se genera por acumulación de cargas.
Q|[F] ¿Qué órgano filtra la sangre en el cuerpo?|Riñón|Corazón|Pulmón|Estómago|Produce la orina eliminando desechos.
Q|[F] ¿Qué unidad mide la presión?|Pascal|Julio|Newton|Hertz|Se usa en física y meteorología.
Q|[F] ¿Qué tipo de energía proviene del calor interno de la Tierra?|Energía geotérmica|Energía solar|Energía eólica|Energía nuclear|Se usa en algunas plantas eléctricas.
Q|[F] ¿Qué estructura protege al cerebro?|Cráneo|Columna vertebral|Costillas|Pelvis|Forma parte del sistema óseo.
Q|[F] ¿Qué elemento es el más abundante en el universo?|Hidrógeno|Oxígeno|Carbono|Helio|Es la base de las estrellas.
Q|[F] ¿Qué tipo de onda necesita un medio para propagarse?|Onda mecánica|Onda electromagnética|Onda cuántica|Onda gravitacional|El sonido es un ejemplo.
Q|[F] ¿Qué instrumento mide los terremotos?|Sismógrafo|Termómetro|Barómetro|Telescopio|Registra vibraciones de la Tierra.
Q|[F] ¿Qué planeta es conocido como el lucero del alba?|Venus|Mercurio|Marte|Júpiter|Es visible al amanecer o atardecer.
Q|[F] ¿Qué sistema controla las funciones del cuerpo humano?|Sistema nervioso|Sistema digestivo|Sistema circulatorio|Sistema óseo|Incluye el cerebro y la médula espinal.
Q|[F] ¿Qué tipo de energía tiene un objeto en altura?|Energía potencial|Energía cinética|Energía térmica|Energía química|Depende de la gravedad.
Q|[M] ¿Qué parte de la célula fabrica proteínas?|Ribosoma|Núcleo|Mitocondria|Membrana|Lee la información del ARN.
Q|[F] ¿Qué fenómeno permite que la luz blanca se separe en colores, como en un arcoíris?|Dispersión|Refracción|Reflexión|Difracción|Ocurre cuando la luz se descompone en distintas longitudes de onda.
Q|[F] ¿Qué órgano produce bilis?|Hígado|Páncreas|Estómago|Intestino|Ayuda a digerir grasas.
Q|[F] ¿Qué tipo de energía usa el viento?|Energía eólica|Energía solar|Energía nuclear|Energía hidráulica|Se aprovecha con aerogeneradores.
Q|[F] ¿Qué parte del átomo no tiene carga?|Neutrón|Protón|Electrón|Ion|Está en el núcleo.
Q|[F] ¿Qué sucede con la presión atmosférica al aumentar la altitud?|Disminuye|Aumenta|Permanece igual|Se duplica|Por eso en zonas altas hay menos oxígeno disponible.
Q|[F] ¿Qué tipo de mezcla es el aire?|Mezcla homogénea|Mezcla heterogénea|Compuesto|Elemento|Sus componentes no se distinguen.
Q|[F] ¿Qué órgano almacena la orina?|Vejiga|Riñón|Hígado|Pulmón|Se vacía durante la micción.
Q|[F] ¿Qué tipo de energía proviene del Sol?|Energía solar|Energía térmica|Energía química|Energía nuclear|Es la principal fuente de energía de la Tierra.
Q|[F] ¿Qué proceso implica división celular en dos células iguales?|Mitosis|Meiosis|Fusión|Fotosíntesis|Permite el crecimiento y reparación.
Q|[M] ¿Qué unidad mide la fuerza?|Newton|Pascal|Julio|Watt|Nombrada por Isaac Newton.
Q|[F] ¿Qué órgano es responsable del pensamiento?|Cerebro|Corazón|Hígado|Pulmón|Controla todo el sistema nervioso.
Q|[F] ¿Qué tipo de energía usa el agua en movimiento?|Energía hidráulica|Energía eólica|Energía solar|Energía química|Se usa en represas hidroeléctricas.
Q|[D] ¿Qué científico formuló el principio de incertidumbre?|Werner Heisenberg|Erwin Schrödinger|Max Planck|Niels Bohr|Es fundamental en la mecánica cuántica.
Q|[F] ¿Qué tipo de célula tiene núcleo definido?|Eucariota|Procariota|Bacteriana|Viral|Las células animales y vegetales son eucariotas.
Q|[F] ¿Qué elemento tiene el símbolo Fe?|Hierro|Flúor|Fósforo|Francio|Es esencial en la hemoglobina.
Q|[F] ¿Qué planeta tiene la mayor cantidad de volcanes?|Venus|Marte|Júpiter|Tierra|Muchos de ellos están inactivos.
Q|[F] ¿Qué proceso ocurre en los cloroplastos?|Fotosíntesis|Respiración celular|Digestión|Fermentación|Convierte energía solar en química.
Q|[F] ¿Qué ley relaciona presión y volumen de un gas?|Ley de Boyle|Ley de Ohm|Ley de Newton|Ley de Hooke|A temperatura constante.
Q|[F] ¿Qué científico descubrió los rayos X?|Wilhelm Röntgen|Marie Curie|Nikola Tesla|Albert Einstein|Revolucionó la medicina diagnóstica.
Q|[F] ¿Qué órgano controla el equilibrio en el cuerpo humano?|Cerebelo|Cerebro|Médula espinal|Hipotálamo|Forma parte del sistema nervioso central.
Q|[F] ¿Qué partícula subatómica tiene masa pero no carga?|Neutrón|Electrón|Protón|Fotón|Se encuentra en el núcleo.
Q|[F] ¿Qué planeta tiene el volcán más grande del sistema solar?|Marte|Venus|Tierra|Júpiter|El Monte Olimpo es enorme.
Q|[F] ¿Qué tipo de energía almacenan las baterías?|Energía química|Energía térmica|Energía nuclear|Energía mecánica|Se transforma en eléctrica.
Q|[F] ¿Qué fenómeno ocurre cuando un sólido pasa a líquido?|Fusión|Sublimación|Condensación|Evaporación|Requiere aumento de temperatura.
Q|[F] ¿Qué estructura celular regula la entrada y salida de sustancias?|Membrana celular|Núcleo|Ribosoma|Mitocondria|Es semipermeable.
Q|[F] ¿Qué científico desarrolló la teoría heliocéntrica?|Nicolás Copérnico|Galileo Galilei|Johannes Kepler|Isaac Newton|Plantea que el Sol es el centro.
Q|[F] ¿Qué unidad mide la temperatura en el sistema internacional?|Kelvin|Celsius|Fahrenheit|Rankine|Se usa en ciencia.
Q|[F] ¿Qué tipo de sangre puede recibir de todos?|AB positivo|O negativo|A positivo|B negativo|Es el receptor universal.
Q|[F] ¿Qué planeta tiene inclinación extrema y gira "de lado"?|Urano|Neptuno|Saturno|Marte|Su eje está muy inclinado.
Q|[F] ¿Qué tipo de onda es el sonido?|Mecánica|Electromagnética|Cuántica|Gravitacional|Necesita un medio para propagarse.
Q|[F] ¿Qué estructura conecta músculos con huesos?|Tendón|Ligamento|Cartílago|Fascia|Permite el movimiento.
Q|[F] ¿Qué gas utilizan los humanos en la respiración celular?|Oxígeno|Nitrógeno|Dióxido de carbono|Helio|Permite producir energía.
Q|[F] ¿Qué científico formuló la ley de la gravitación universal?|Isaac Newton|Albert Einstein|Galileo Galilei|Stephen Hawking|Describe la atracción entre masas.
Q|[F] ¿Qué tipo de energía tiene un resorte comprimido?|Energía potencial elástica|Energía cinética|Energía térmica|Energía química|Depende de la deformación.
Q|[F] ¿Qué órgano es responsable de producir hormonas?|Glándulas endocrinas|Pulmones|Riñones|Corazón|Regulan funciones del cuerpo.
Q|[F] ¿Qué planeta es conocido por su Gran Mancha Roja?|Júpiter|Saturno|Neptuno|Marte|Es una tormenta gigante.
Q|[F] ¿Qué partícula determina el número atómico de un elemento?|Protón|Neutrón|Electrón|Fotón|El número atómico define la identidad química del elemento.
Q|[F] ¿Qué proceso ocurre cuando el vapor pasa a líquido?|Condensación|Evaporación|Fusión|Sublimación|Ocurre al enfriarse.
Q|[F] ¿Qué órgano es clave en el sistema inmunológico?|Bazo|Hígado|Pulmón|Estómago|Filtra la sangre.
Q|[F] ¿Qué elemento químico es base de la vida orgánica?|Carbono|Oxígeno|Hidrógeno|Nitrógeno|Forma cadenas complejas.
Q|[F] ¿Qué tipo de energía produce una central nuclear?|Energía nuclear|Energía térmica|Energía química|Energía eólica|Se basa en fisión.
Q|[F] ¿Qué estructura celular contiene clorofila?|Cloroplasto|Mitocondria|Núcleo|Ribosoma|Captura energía solar.
Q|[F] ¿Qué científico es conocido por sus leyes del movimiento planetario?|Johannes Kepler|Isaac Newton|Galileo Galilei|Copérnico|Describen órbitas elípticas.
Q|[F] ¿Cuál de las siguientes es una unidad de medida de velocidad?|m/s|Newton|Joule|Pascal|Signfica "metros por segundo".
Q|[F] ¿Qué tipo de tejido transmite impulsos nerviosos?|Tejido nervioso|Tejido muscular|Tejido epitelial|Tejido conectivo|Permite comunicación interna.
Q|[F] ¿Qué órgano humano produce jugos gástricos?|Estómago|Hígado|Páncreas|Intestino|Ayuda a la digestión.
Q|[M] ¿Qué tipo de enlace une metales?|Enlace metálico|Covalente|Iónico|Puente de hidrógeno|Permite conductividad.
Q|[F] ¿Qué planeta registra las temperaturas más bajas del sistema solar?|Urano|Neptuno|Saturno|Plutón|Tiene temperaturas extremadamente bajas.
Q|[F] ¿Qué unidad mide el trabajo?|Julio|Newton|Pascal|Hertz|Se usa en física.
Q|[F] ¿Qué estructura protege la médula espinal?|Columna vertebral|Cráneo|Costillas|Pelvis|Es parte del esqueleto.
Q|[F] ¿Qué gas expulsan los humanos al respirar?|Dióxido de carbono|Oxígeno|Nitrógeno|Hidrógeno|Resultado del metabolismo.
Q|[M] ¿Qué proceso copia el ADN antes de la división celular?|Replicación del ADN|Transcripción|Traducción|Fermentación|Ocurre durante la fase S del ciclo celular.
Q|[F] ¿Qué proceso implica la formación de gametos?|Meiosis|Mitosis|Fusión|Fotosíntesis|Reduce a la mitad los cromosomas.
Q|[F] ¿Qué científico es considerado padre de la genética?|Gregor Mendel|Charles Darwin|Louis Pasteur|Watson|Estudió guisantes.
Q|[F] ¿Qué planeta tiene el año más largo?|Neptuno|Urano|Saturno|Júpiter|Tarda más en orbitar el Sol.
Q|[F] ¿Qué tipo de sistema regula el equilibrio interno del cuerpo?|Sistema endocrino|Sistema digestivo|Sistema respiratorio|Sistema óseo|Mantiene la homeostasis.
Q|[F] ¿Qué órgano filtra toxinas en la sangre?|Hígado|Riñón|Pulmón|Corazón|Procesa sustancias químicas.
Q|[F] ¿Qué dispositivo transforma energía mecánica en energía eléctrica?|Generador eléctrico|Motor eléctrico|Transformador|Condensador|Las turbinas de centrales suelen mover generadores.
Q|[F] ¿Qué fenómeno permite escuchar ecos?|Reflexión del sonido|Refracción|Difracción|Absorción|El sonido rebota en superficies.
Q|[F] ¿Qué tipo de célula forma los tejidos animales?|Célula eucariota|Procariota|Bacteriana|Viral|Tienen núcleo definido.
Q|[F] ¿Qué instrumento mide la velocidad del viento?|Anemómetro|Barómetro|Termómetro|Higrómetro|Usado en meteorología.
Q|[M] ¿Qué estructura celular es responsable de la síntesis de proteínas?|Ribosoma|Núcleo|Mitocondria|Membrana|Lee el ARN mensajero.
Q|[M] ¿Qué tipo de enlace se forma entre átomos metálicos?|Enlace metálico|Covalente|Iónico|Puente de hidrógeno|Permite conductividad eléctrica.
Q|[D] ¿Qué es la constante de Planck?|La relación entre energía y frecuencia de un fotón|La velocidad de la luz|La masa del electrón|La carga eléctrica del protón|Es fundamental en la mecánica cuántica.
Q|[D] ¿Qué planeta enano fue reclasificado en 2006 por la UAI?|Plutón|Ceres|Eris|Makemake|Antes era considerado el noveno planeta.
Q|[D] ¿Qué es un agujero negro?|Una región del espacio con gravedad tan intensa que nada escapa|Una estrella apagada|Un planeta sin atmósfera|Un sistema binario de estrellas|Ni la luz puede escapar de él.
Q|[D] ¿Qué nombre recibe la radiación que emiten los agujeros negros según Hawking?|Radiación de Hawking|Radiación de fondo|Radiación de Cherenkov|Radiación de Planck|Implica que los agujeros negros no son eternos.
Q|[D] ¿Qué es la materia oscura?|Una forma de materia que no emite ni absorbe luz|Gas interestelar|Plasma caliente|Antimateria|Compone aproximadamente el 27% del universo.
Q|[M] ¿Qué tipo de ARN lleva la información del ADN al ribosoma?|ARN mensajero|ARN de transferencia|ARN ribosómico|ARN de interferencia|Sirve de plantilla para fabricar proteínas.
Q|[M] ¿Qué científica fue pionera en el estudio del ADN con rayos X?|Rosalind Franklin|Marie Curie|Barbara McClintock|Rita Levi-Montalcini|Sus imágenes fueron clave para Watson y Crick.
Q|[D] ¿Qué nombre recibe la secuencia de tres bases del ARN que codifica un aminoácido?|Codón|Anticodón|Exón|Intrón|El código genético está formado por codones.
Q|[M] ¿Qué ley relaciona el voltaje, la corriente y la resistencia eléctrica?|Ley de Ohm|Ley de Joule|Ley de Faraday|Ley de Kirchhoff|Se expresa como V = I x R.
Q|[M] ¿Qué organelo participa en la síntesis y transporte de proteínas en la célula?|Retículo endoplasmático rugoso|Lisosoma|Peroxisoma|Centriolo|Tiene ribosomas adheridos a su membrana.
Q|[M] ¿Qué tipo de enlace une nucleótidos complementarios en el ADN?|Puentes de hidrógeno|Enlaces iónicos|Enlaces peptídicos|Enlaces metálicos|Aparecen entre A-T y C-G.
Q|[M] ¿Qué proceso celular genera dos células hijas con el mismo número de cromosomas?|Mitosis|Meiosis|Fecundación|Gametogénesis|Es esencial para crecimiento y reparación.
Q|[M] ¿Qué capa de la atmósfera absorbe gran parte de la radiación ultravioleta?|Estratósfera|Troposfera|Mesosfera|Exosfera|Gracias al ozono, protege a los seres vivos.
Q|[M] ¿Qué estructura del sistema nervioso transmite información entre neuronas?|Sinapsis|Alvéolo|Glomérulo|Nefrona|En ella se liberan neurotransmisores.
Q|[M] ¿Qué instrumento permite separar componentes de una mezcla por masa en laboratorio?|Centrífuga|Calorímetro|Voltímetro|Refractómetro|Se usa, por ejemplo, en análisis de sangre.
Q|[M] ¿Qué proceso transforma ADN en ARN mensajero?|Transcripción|Traducción|Replicación|Fermentación|Ocurre en el núcleo de células eucariotas.
Q|[M] ¿Qué ley de Newton explica que toda acción genera una reacción opuesta?|Tercera ley de Newton|Primera ley de Newton|Segunda ley de Newton|Ley de gravitación|Las fuerzas aparecen en pares.
Q|[M] ¿Qué parte del corazón impulsa sangre oxigenada al cuerpo?|Ventrículo izquierdo|Aurícula derecha|Ventrículo derecho|Aurícula izquierda|La envía por la arteria aorta.
Q|[M] ¿Qué tipo de roca se forma cuando una roca previa cambia por presión y temperatura?|Roca metamórfica|Roca ígnea|Roca sedimentaria|Roca volcánica|El mármol es un ejemplo.
Q|[M] ¿Qué órgano detecta y regula cambios en los niveles de glucosa mediante insulina?|Páncreas|Hígado|Bazo|Tiroides|Sus islotes de Langerhans cumplen esa función.
Q|[M] ¿Qué unidad del SI mide la fuerza?|Newton|Joule|Watt|Pascal|Equivale a kg*m/s^2.
Q|[M] ¿Qué partícula del núcleo atómico determina el elemento químico?|Protón|Neutrón|Electrón|Fotón|Su número define el número atómico.
Q|[M] ¿Qué proceso físico explica que un objeto flote por la fuerza del fluido desplazado?|Principio de Arquímedes|Principio de Pascal|Ley de Hooke|Ley de Coulomb|Es clave en hidrostática.
Q|[M] ¿Qué estructura del oído convierte vibraciones en señales eléctricas?|Cóclea|Tímpano|Martillo|Canales semicirculares|Contiene células ciliadas sensitivas.
Q|[M] ¿Qué tipo de célula sanguínea participa principalmente en la defensa inmune?|Glóbulo blanco|Glóbulo rojo|Plaqueta|Miocito|Los leucocitos combaten patógenos.
Q|[M] ¿Qué molécula energética es la "moneda" principal de la célula?|ATP|ADP|NADH|ARN|Almacena energía en enlaces fosfato.
Q|[M] ¿Qué ley explica la conservación de la masa en reacciones químicas?|Ley de Lavoisier|Ley de Dalton|Ley de Avogadro|Ley de Hess|La materia no se crea ni se destruye.
Q|[M] ¿Qué magnitud física mide el pascal?|Presión|Fuerza|Energía|Potencia|Equivale a N/m^2.
Q|[M] ¿Qué tipo de reproducción genera descendencia genéticamente idéntica?|Asexual|Sexual|Cruzada|Diploide|No requiere fusión de gametos.
Q|[M] ¿Qué estructura vegetal permite intercambio gaseoso en hojas?|Estoma|Xilema|Floema|Cutícula|Se abre y cierra según condiciones ambientales.
Q|[D] ¿Qué principio establece que no se puede conocer simultáneamente con precisión posición y momento?|Principio de incertidumbre de Heisenberg|Principio de exclusión de Pauli|Principio de superposición|Principio antrópico|Es fundamental en mecánica cuántica.
Q|[D] ¿Qué modelo cosmológico describe la expansión acelerada del universo con energía oscura?|Modelo Lambda-CDM|Modelo estacionario|Modelo geocéntrico|Modelo pulsante|Es el paradigma cosmológico actual.
Q|[D] ¿Qué nombre recibe la transición de fase del plasma de quarks y gluones al enfriarse?|Confinamiento cromodinámico|Fisión nuclear|Decaimiento beta|Ionización|Ocurrió en el universo primitivo.
Q|[D] ¿Qué ecuación de Schrödinger describe la evolución temporal de un sistema cuántico?|Ecuación dependiente del tiempo|Ecuación de Dirac|Ecuación de Maxwell|Ecuación de Bernoulli|Usa el Hamiltoniano del sistema.
Q|[D] ¿Qué partícula media la interacción fuerte en cromodinámica cuántica?|Gluón|Fotón|Bosón W|Gravitón|Transporta carga de color.
Q|[D] ¿Qué fenómeno en relatividad general explica la curvatura de la luz cerca de grandes masas?|Lente gravitacional|Efecto Doppler|Polarización|Interferencia|Se observa en galaxias y cúmulos.
Q|[D] ¿Qué observatorio detectó por primera vez ondas gravitacionales en 2015?|LIGO|Hubble|ALMA|Keck|La señal provenía de agujeros negros en fusión.
Q|[D] ¿Qué regla cuántica prohíbe que dos fermiones idénticos compartan el mismo estado?|Principio de exclusión de Pauli|Regla de Hund|Principio de Aufbau|Regla de Lenz|Explica la estructura electrónica atómica.
Q|[D] ¿Qué proceso nuclear alimenta principalmente al Sol?|Fusión de hidrógeno en helio|Fisión de uranio|Captura beta|Desintegración alfa|Ocurre en el núcleo solar a alta presión.
Q|[D] ¿Qué parámetro cosmológico se usa para medir la tasa de expansión del universo?|Constante de Hubble|Constante de Planck|Número de Avogadro|Constante de Boltzmann|Se expresa en km/s por Mpc.
Q|[D] ¿Qué geometría orbital describe Kepler en su primera ley?|Órbitas elípticas con el Sol en un foco|Órbitas circulares uniformes|Órbitas parabólicas|Órbitas helicoidales|Reemplazó modelos circulares previos.
Q|[D] ¿Qué término describe la pérdida de energía por emisión de radiación en partículas aceleradas en campos magnéticos?|Radiación sincrotrón|Radiación alfa|Radiación de cuerpo negro|Radiación acústica|Es común en aceleradores y jets astrofísicos.
Q|[D] ¿Qué tipo de enlace predomina en el grafeno dentro de su red hexagonal?|Covalente sp2|Iónico|Metálico puro|Puente de hidrógeno|Le da gran resistencia y conductividad.
Q|[D] ¿Qué técnica molecular amplifica fragmentos específicos de ADN?|PCR|ELISA|Electroforesis|Western blot|Usa ciclos de temperatura y polimerasa.
Q|[D] ¿Qué sistema de edición genética usa nucleasas guiadas por ARN?|CRISPR-Cas9|ARNi|Sanger|Microarreglos|Ha revolucionado la biotecnología moderna.
