# Formato:
# Q|Pregunta|Respuesta correcta|Alternativa 1|Alternativa 2|Alternativa 3|Dato extra opcional

Q|¿Quién pintó Impresión, sol naciente?|Claude Monet|Edgar Degas|Pierre-Auguste Renoir|Camille Pissarro|Esta obra dio nombre al impresionismo.
Q|¿Qué muralista mexicano pintó Hombre en la encrucijada?|Diego Rivera|José Clemente Orozco|David Alfaro Siqueiros|Rufino Tamayo|El mural fue destruido y luego recreado en México.
Q|¿Quién desarrolló el puntillismo junto a Signac?|Georges Seurat|Henri Toulouse-Lautrec|Paul Gauguin|Gustave Courbet|Georges Seurat aplicaba puntos de color puro para mezclar ópticamente.
Q|¿Quién pintó La libertad guiando al pueblo?|Eugène Delacroix|Jacques-Louis David|Jean-Auguste-Dominique Ingres|Théodore Géricault|La obra simboliza la lucha revolucionaria en Francia.
Q|¿Qué arquitecta fue la primera mujer en recibir el Premio Pritzker?|Zaha Hadid|Kazuyo Sejima|Lina Bo Bardi|Jeanne Gang|Zaha Hadid fue conocida por sus diseños futuristas.
Q|¿Qué artista chileno creó la obra El vuelo de Matta?|Roberto Matta|Claudio Bravo|Camilo Mori|Nemesio Antúnez|Roberto Matta fue cercano al movimiento surrealista europeo.
Q|¿Qué escultora chilena destacó por obras monumentales en piedra?|Marta Colvin|Lily Garafulic|Federico Assler|Sergio Castillo|Marta Colvin ganó el Premio Nacional de Arte en 1970.
Q|¿Qué pintor es autor de Los fusilamientos del 3 de mayo?|Francisco de Goya|Diego Velázquez|El Greco|Bartolomé Esteban Murillo|La obra denuncia la violencia de la guerra.
Q|¿Qué artista neerlandés pintó La ronda de noche?|Rembrandt|Johannes Vermeer|Frans Hals|Jan Steen|La obra destaca por su uso dramático de la luz.
Q|¿Quién pintó El nacimiento de Venus?|Sandro Botticelli|Tiziano|Rafael|Caravaggio|La obra representa el ideal de belleza renacentista.
Q|¿Qué escultor realizó el David renacentista más famoso en mármol?|Miguel Ángel|Donatello|Bernini|Lorenzo Ghiberti|El David mide más de 5 metros de altura.
Q|¿Qué artista barroco es famoso por su claroscuro dramático?|Caravaggio|Vermeer|Canaletto|Ingres|Caravaggio influyó en toda la pintura europea posterior.
Q|¿Quién pintó Las señoritas de Avignon?|Pablo Picasso|Georges Braque|Juan Gris|Fernand Léger|La obra marcó el inicio del cubismo moderno.
Q|¿Qué arquitecto diseñó la Casa de la Cascada (Fallingwater)?|Frank Lloyd Wright|Le Corbusier|Walter Gropius|Alvar Aalto|La casa integra el entorno natural en su diseño.
Q|¿Qué artista es conocido por su serie Concetto Spaziale?|Lucio Fontana|Piero Manzoni|Giorgio de Chirico|Umberto Boccioni|Lucio Fontana cortaba el lienzo para explorar el espacio.
Q|¿Qué pintor francés es referente del postimpresionismo?|Paul Cézanne|Claude Monet|Henri Matisse|Édouard Manet|Paul Cézanne influyó en el cubismo.
Q|¿Quién pintó El jardín de las delicias?|El Bosco|Pieter Brueghel el Viejo|Albrecht Dürer|Hans Holbein|La obra es una obra llena de simbolismo enigmático.
Q|¿Qué artista chileno destacó por retratos hiperrealistas?|Claudio Bravo|Roberto Matta|Gonzalo Cienfuegos|Benjamín Lira|Claudio Bravo vivió gran parte de su vida en Marruecos.
Q|¿Qué movimiento promovía diseño funcional y geométrico?|Bauhaus|Romanticismo|Rococó|Tenebrismo|La Bauhaus unió arte, diseño y arquitectura.
Q|¿Qué escultora chilena destacó en bronce?|Lily Garafulic|Marta Colvin|Rebeca Matte|Marta Minujín|Lily Garafulic ganó el Premio Nacional de Arte en 1995.
Q|¿Quién pintó la serie de Nenúfares?|Claude Monet|Paul Signac|Camille Pissarro|Gustave Caillebotte|Claude Monet las pintó en su jardín en Giverny.
Q|¿Qué artista noruego pintó Madonna?|Edvard Munch|Emil Nolde|Egon Schiele|Oskar Kokoschka|Edvard Munch exploró emociones intensas y existenciales.
Q|¿Qué arquitecto diseñó la Villa Savoye?|Le Corbusier|Mies van der Rohe|Oscar Niemeyer|Richard Neutra|La obra resume sus “cinco puntos” arquitectónicos.
Q|¿Qué artista es clave en el action painting?|Jackson Pollock|Mark Rothko|Barnett Newman|Willem de Kooning|Jackson Pollock pintaba dejando caer la pintura sobre el lienzo.
Q|¿Qué pintora barroca italiana pintó Judith decapitando a Holofernes?|Artemisia Gentileschi|Sofonisba Anguissola|Angelica Kauffman|Rosalba Carriera|La obra es símbolo de reivindicación femenina.
Q|¿Qué artista español creó un mural para la UNESCO en París?|Joan Miró|Pablo Picasso|Antoni Tàpies|Eduardo Chillida|Joan Miró también destacó en escultura.
Q|¿Qué escultor es famoso por figuras humanas alargadas?|Alberto Giacometti|Constantin Brancusi|Antoine Bourdelle|Aristide Maillol|Sus obras reflejan soledad y fragilidad humana.
Q|¿Qué artista pop creó Balloon Dog?|Jeff Koons|Damien Hirst|Takashi Murakami|Keith Haring|Sus obras alcanzan precios millonarios en el mercado del arte.
Q|¿Qué pintor flamenco pintó El matrimonio Arnolfini?|Jan van Eyck|Rogier van der Weyden|Hans Memling|Petrus Christus|La obra destaca por el detalle y simbolismo.
Q|¿Qué artista chileno fundó el Taller 99?|Nemesio Antúnez|Camilo Mori|Mario Carreño|José Balmes|Nemesio Antúnez fue clave en el grabado chileno.
Q|¿Qué artista japonesa creó Infinity Mirror Rooms?|Yayoi Kusama|Marina Abramović|Tracey Emin|Jenny Holzer|Su obsesión por los puntos viene de alucinaciones.
Q|¿Qué artista pintó Composición VIII?|Wassily Kandinsky|Kazimir Malevich|Piet Mondrian|Paul Klee|Wassily Kandinsky relacionaba arte con música.
Q|¿Qué arquitecto diseñó Brasilia?|Oscar Niemeyer|Lúcio Costa|Paulo Mendes da Rocha|Affonso Reidy|Oscar Niemeyer usó curvas inspiradas en la naturaleza.
Q|¿Qué pintora surrealista creó Papilla estelar?|Remedios Varo|Frida Kahlo|Leonora Carrington|Olga Costa|Su obra mezcla ciencia y misticismo.
Q|¿Qué fotógrafo chileno integró la agencia Magnum?|Sergio Larraín|Antonio Quintana|Tomás Munita|Luis Poirot|Sergio Larraín fue uno de los pocos latinoamericanos en ingresar.
Q|¿Qué artista realizó El gran vidrio?|Marcel Duchamp|Francis Bacon|David Hockney|Henry Moore|Marcel Duchamp cuestionó qué puede ser considerado arte.
Q|¿Qué pintor fue clave en el fauvismo?|Henri Matisse|Raoul Dufy|Georges Rouault|Maurice de Vlaminck|Henri Matisse usaba colores intensos sin buscar realismo.
Q|¿Qué artista popularizó las latas de sopa Campbell?|Andy Warhol|Roy Lichtenstein|Keith Haring|Jean-Michel Basquiat|Andy Warhol transformó productos cotidianos en arte.
Q|¿Qué pintor español desarrolló el período azul?|Pablo Picasso|Salvador Dalí|Francisco de Goya|Joan Miró|Este período refleja melancolía y pobreza.
Q|¿Quién pintó La última cena?|Leonardo da Vinci|Miguel Ángel|Rafael|Donatello|La obra se encuentra en un convento en Milán.
Q|¿Qué escultor creó El beso?|Auguste Rodin|Antonio Canova|Gian Lorenzo Bernini|Donatello|La escultura representa una escena romántica.
Q|¿Qué pintor es famoso por sus girasoles?|Vincent van Gogh|Claude Monet|Paul Gauguin|Henri Matisse|Vincent van Gogh pintó varias versiones en Arlés.
Q|¿Qué movimiento explora el subconsciente y los sueños?|Surrealismo|Cubismo|Impresionismo|Barroco|El surrealismo se inspiró en el psicoanálisis.
Q|¿Qué artista participó en la estética expresionista del cine alemán?|Hermann Warm|Edvard Munch|Paul Klee|Otto Dix|Hermann Warm diseñó escenografías icónicas.
Q|¿Quién pintó El almuerzo de los remeros?|Pierre-Auguste Renoir|Claude Monet|Edgar Degas|Édouard Manet|La obra representa la vida social parisina.
Q|¿Qué arquitecto diseñó el Guggenheim de Bilbao?|Frank Gehry|Zaha Hadid|Renzo Piano|Norman Foster|El edificio es un símbolo de la arquitectura contemporánea.
Q|¿Qué artista es conocido por estética kitsch y esculturas brillantes?|Jeff Koons|Damien Hirst|Banksy|Takashi Murakami|Su obra mezcla arte y cultura de consumo.
